Mods count: 110
 
jar name                                                                | mod id (isMCreator)             | mixin configs
fmlloader-1.20.1-47.4.0.jar (modloader)                                 | forge                           | 
ags_modernmarkings-0.4.3-1.20.1.jar                                     | ags_modernmarkings              | 
alternate_current-mc1.20-1.7.0.jar                                      | alternate_current               | alternate-current.mixins.json
Antique Atlas-1.20.1-8.0.1-Forge.jar                                    | antiqueatlas                    | antiqueatlas.mixins.json, antiqueatlas-common.mixins.json
appliedenergistics2-forge-15.4.8.jar                                    | ae2                             | ae2.mixins.refmap.json, ae2.mixins.json
architectury-9.2.14-forge.jar                                           | architectury                    | architectury.mixins.json, architectury-common.mixins.json
Atlas Lib-1.20.1-1.1.12.jar                                             | atlaslib                        | 
auudio_forge_1.0.3_MC_1.19.3.jar                                        | auudio                          | auudio.mixin.json, auudio.mixin-refmap.json
azurelib-neo-1.20.1-3.0.15.jar                                          | azurelib                        | azurelib.forge.mixins.json, azurelib.mixins.json
bobby-1.20.1_v5.0.1.jar                                                 | bobby                           | bobby.mixins.json
chassis_core-1.20.1-2.6.4.jar                                           | chassis_core                    | chassis_core.mixin-refmap.json, chassis_core.mixin.json
cherishedworlds-forge-6.1.7+1.20.1.jar                                  | cherishedworlds                 | cherishedworlds.mixins.json
CommonCapabilities-1.20.1-2.9.8.jar                                     | commoncapabilities              | 
configuration-forge-1.20.1-3.1.0.jar                                    | configuration                   | configuration.mixins.json
Corgilib-Forge-1.20.1-4.0.3.4.jar                                       | corgilib                        | corgilib-common.mixins.json
craftingrecipeexporter-1.20.1-Forge-1.0.2.jar                           | craftingrecipeexporter          | craftingrecipeexporter.mixins.json
CraftTweaker-forge-1.20.1-14.0.59.jar                                   | crafttweaker                    | crafttweaker.mixins.json, crafttweaker.forge.mixins.json
CrashAssistant-forge-1.19.2-1.20.1-1.9.7.jar                            | crash_assistant                 | 
    /META-INF/jarjar/app.jar                                            |                                 | 
    /META-INF/jarjar/crash_assistant-forge.jar                          | crash_assistant                 | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
CreativeCore_FORGE_v2.12.32_mc1.20.1.jar                                | creativecore                    | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json
cupboard-1.20.1-2.7.jar                                                 | cupboard                        | cupboard.mixins.json
curios-forge-5.14.1+1.20.1.jar                                          | curios                          | curios.mixins.json
